"Unique ID","Title","Categories","Source","Owner","Status"
1,"What is skateboarding?","About ","http://en.wikipedia.org/wiki/Skateboarding","Maddi","Needs to be edited"
2,"History","About ","http://www.interlog.com/mbrooke/history.htm","Maddi","Needs to be edited"
3,"Culture","Culture","http://en.wikipedia.org/wiki/Skateboarding","Maddi","Needs to be edited"
4,"Skate Shoes","Culture","http://en.wikipedia.org/wiki/Skate_shoe","Maddi","Needs to be edited"
5,"Skate Decks","Culture","http://en.wikipedia.org/wiki/Skateboard","Maddi","Needs to be edited"
6,"Safety","How-To","http://en.wikipedia.org/wiki/Skateboarding","Maddi","Needs to be edited"
7,"Uses","How-To","http://en.wikipedia.org/wiki/Skateboarding_styles","Maddi","Needs to be edited"
8,"Controversy","About ","http://www.newsreview.com/sacramento/skateboarding-is-not-a-sport/content?oid=44507","Maddi","Needs to be edited"
9,"Tricks & Tips","How-To","http://en.wikipedia.org/wiki/Skateboarding_trick","Maddi","Needs to be edited"
10,"Skate Companies","Culture","http://en.wikipedia.org/wiki/Skateboarding_companies","Maddi","Needs to be edited"
11,"Skateboarders","Inside Look","http://en.wikipedia.org/wiki/List_of_pro_skaters","Maddi","Needs to be edited"
12,"Sponsorships","Culture","http://en.wikipedia.org/wiki/Skateboarding_sponsorship","Maddi","Needs to be edited"
13,"Types of Skateboarding","About ","http://skateboard.about.com/od/skateboardingfaq/f/FAQKindsOfSkate.htm","Maddi","Needs to be edited"
14,"Terminology","About ","http://en.wikipedia.org/wiki/List_of_skateboarding_terms","Maddi","Needs to be edited"
15,"Skate Competitions","Inside Look","http://en.wikipedia.org/wiki/Category:Skateboarding_competitions","Maddi","Needs to be edited"
